p1,p2,p3,r12,r13,r21,r23,r31,r32,n_distinct,repeated_order,collision_kind
7,419,153269,19,38317,2,38317,3,11,5,38317,column
7,2741,28643,137,14321,3,14321,2,5,5,14321,column
7,2741,127343,137,63671,3,63671,2,5,5,63671,column
7,2741,258887,137,129443,3,129443,2,5,5,129443,column
7,4759,138917,61,34729,2,34729,3,13,5,34729,column
7,8269,253679,53,126839,3,126839,2,13,5,126839,column
7,14009,83243,17,41621,3,41621,2,103,5,41621,column
7,14009,128603,17,64301,3,64301,2,103,5,64301,column
7,24509,70139,557,35069,3,35069,2,11,5,35069,column
7,24509,127679,557,63839,3,63839,2,11,5,63839,column
7,43397,96263,571,48131,3,48131,2,19,5,48131,column
7,108023,282053,54011,659,2,107,3,54011,5,54011,column
7,147503,221477,73751,3257,2,17,3,73751,5,73751,column
11,43,16333,7,1361,2,1361,5,3,5,1361,column
11,43,31469,7,7867,2,7867,5,3,5,7867,column
11,43,32213,7,8053,2,8053,5,3,5,8053,column
11,43,107837,7,26959,2,26959,5,3,5,26959,column
11,43,110933,7,27733,2,27733,5,3,5,27733,column
11,43,255413,7,63853,2,63853,5,3,5,63853,column
11,43,289469,7,72367,2,72367,5,3,5,72367,column
11,1093,134287,13,22381,5,22381,2,3,5,22381,column
11,1847,169733,71,42433,2,42433,5,13,5,42433,column
11,19309,105467,1609,52733,5,52733,2,3,5,52733,column
11,45319,95093,7,23773,2,23773,5,13,5,23773,column
11,50159,81629,31,20407,2,20407,5,809,5,20407,column
13,311,196277,31,49069,2,49069,3,5,5,49069,column
13,1091,130841,109,3271,2,3271,3,5,5,3271,column
13,1091,148469,109,37117,2,37117,3,5,5,37117,column
13,2141,270659,107,135329,3,135329,2,5,5,135329,column
19,911,214213,5,17851,2,17851,3,13,5,17851,column
19,39671,142469,3967,35617,2,35617,3,5,5,35617,column
23,2129,235979,19,117989,11,117989,2,7,5,117989,column
23,35603,225749,2543,56437,2,56437,11,7,5,56437,column
29,521,106279,13,17713,2,17713,7,5,5,17713,column
31,36083,279977,18041,79,2,443,5,18041,5,18041,column
37,9239,17093,149,4273,3,4273,2,31,5,4273,column
37,9371,146297,937,18287,3,18287,2,5,5,18287,column
47,61,90239,3,45119,23,45119,2,5,5,45119,column
47,61,149459,3,74729,23,74729,2,5,5,74729,column
47,61,296663,3,148331,23,148331,2,5,5,148331,column
47,2237,5639,13,2819,23,2819,2,43,5,2819,column
47,2237,24439,13,4073,23,4073,2,43,5,4073,column
47,2237,113363,13,56681,23,56681,2,43,5,56681,column
47,2237,229547,13,114773,23,114773,2,43,5,114773,column
47,3571,29873,17,1867,2,1867,23,7,5,1867,column
47,141853,161303,11821,80651,23,80651,2,3,5,80651,column
53,12613,259397,1051,64849,2,64849,13,3,5,64849,column
53,28619,169769,349,21221,2,21221,13,41,5,21221,column
53,43117,225143,3593,112571,13,112571,2,3,5,112571,column
59,4973,26903,113,13451,29,13451,2,11,5,13451,column
61,2819,202967,1409,101483,3,101483,5,2,5,101483,column
67,149,50957,37,12739,11,12739,3,2,5,12739,column
71,1237,95549,103,23887,7,23887,5,3,5,23887,column
83,29879,129461,14939,6473,2,5,41,14939,5,14939,column
97,176927,239069,88463,1013,2,59,3,88463,5,88463,column
103,823,187469,137,46867,2,46867,17,3,5,46867,column
103,2441,34757,61,8689,17,8689,3,5,5,8689,column
103,3769,22613,157,5653,17,5653,3,2,5,5653,column
109,3923,223277,37,55819,2,55819,3,53,5,55819,column
109,7193,54563,29,27281,2,27281,3,31,5,27281,column
113,59581,276623,5,138311,7,138311,2,331,5,138311,column
157,797,11717,199,101,3,29,13,199,5,199,column
157,11717,135007,101,22501,13,22501,3,29,5,22501,column
167,19301,104207,5,52103,83,52103,2,193,5,52103,column
173,122887,210713,6827,26339,43,26339,2,3,5,26339,column
179,2437,53699,29,26849,89,26849,2,3,5,26849,column
263,349,246167,29,123083,131,123083,2,3,5,123083,column
277,947,117427,43,19571,3,19571,23,2,5,19571,column
277,947,287887,43,47981,3,47981,23,2,5,47981,column
311,317,222533,79,55633,5,55633,31,2,5,55633,column
337,389,200723,97,100361,7,100361,3,2,5,100361,column
383,7621,271163,5,135581,191,135581,2,127,5,135581,column
383,16729,271163,41,135581,191,135581,2,17,5,135581,column
389,827,81689,7,10211,97,10211,2,59,5,10211,column
443,1997,107837,499,26959,17,26959,13,2,5,26959,column
479,709,143699,59,71849,239,71849,2,3,5,71849,column
499,3877,65867,19,32933,83,32933,2,17,5,32933,column
599,1097,168937,137,7039,23,7039,13,2,5,7039,column
743,5413,25373,11,6343,53,6343,7,41,5,6343,column
1019,5413,12227,11,6113,509,6113,2,41,5,6113,column
1019,11317,36683,41,18341,509,18341,2,23,5,18341,column
1021,7823,281627,3911,140813,5,140813,17,2,5,140813,column
1091,1877,205133,67,51283,5,51283,109,7,5,51283,column
1163,6737,202109,421,50527,83,50527,7,2,5,50527,column
1931,71333,295277,1049,73819,5,73819,193,17,5,73819,column
3023,7873,108827,41,54413,1511,54413,2,3,5,54413,column
3347,8693,152189,41,38047,239,38047,7,53,5,38047,column
31973,58733,191837,14683,199,7993,241,2,14683,5,14683,column
31973,171317,191837,42829,199,7993,241,2,42829,5,42829,column
