index,p1,p2,p3,r12,r13,r21,r23,r31,r32,n_distinct,repeated_order,collision_kind
0,7,419,153269,19,38317,2,38317,3,11,5,38317,column
1,7,2741,28643,137,14321,3,14321,2,5,5,14321,column
2,7,2741,127343,137,63671,3,63671,2,5,5,63671,column
3,7,2741,258887,137,129443,3,129443,2,5,5,129443,column
4,7,4759,138917,61,34729,2,34729,3,13,5,34729,column
5,7,8269,253679,53,126839,3,126839,2,13,5,126839,column
6,7,14009,83243,17,41621,3,41621,2,103,5,41621,column
7,7,14009,128603,17,64301,3,64301,2,103,5,64301,column
8,7,24509,70139,557,35069,3,35069,2,11,5,35069,column
9,7,24509,127679,557,63839,3,63839,2,11,5,63839,column
